FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,07/30/26 22:00:23.964146400
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188868:estOrientQuaternion,Matrix,50Hz[1x4],,,,,,
inertial-6286.188868:estOrientQuaternion:valid,ValidFlag,50Hz[1x4],,,,,,

DATA_START
Time,inertial-6286.188868:estOrientQuaternion[0-0],inertial-6286.188868:estOrientQuaternion[0-1],inertial-6286.188868:estOrientQuaternion[0-2],inertial-6286.188868:estOrientQuaternion[0-3],inertial-6286.188868:estOrientQuaternion:valid
1785448823964146400,0.998808,-0.047485,0.006686,0.009136,1
1785448823984069600,0.998807,-0.047498,0.006680,0.009137,1
1785448824004089400,0.998807,-0.047501,0.006686,0.009138,1
1785448824024120900,0.998807,-0.047497,0.006688,0.009140,1
1785448824044117700,0.998807,-0.047500,0.006692,0.009143,1
1785448824064054700,0.998807,-0.047497,0.006688,0.009150,1
1785448824084181900,0.998807,-0.047496,0.006689,0.009150,1
1785448824104076400,0.998807,-0.047491,0.006685,0.009150,1
1785448824124062600,0.998807,-0.047492,0.006689,0.009152,1
1785448824144004800,0.998808,-0.047487,0.006689,0.009150,1
1785448824164041400,0.998808,-0.047484,0.006689,0.009152,1
1785448824183992900,0.998807,-0.047496,0.006690,0.009150,1
1785448824203866300,0.998807,-0.047497,0.006690,0.009152,1
1785448824224003200,0.998807,-0.047495,0.006688,0.009155,1
1785448824244021400,0.998807,-0.047495,0.006693,0.009159,1
1785448824263906700,0.998807,-0.047493,0.006696,0.009161,1
1785448824284053800,0.998807,-0.047498,0.006696,0.009162,1
1785448824303910800,0.998807,-0.047496,0.006695,0.009162,1
1785448824323900000,0.998807,-0.047497,0.006694,0.009163,1
1785448824343910200,0.998807,-0.047495,0.006695,0.009166,1
1785448824363909000,0.998807,-0.047490,0.006697,0.009170,1
1785448824384060800,0.998807,-0.047503,0.006691,0.009170,1
1785448824403847100,0.998807,-0.047499,0.006691,0.009172,1
1785448824423862900,0.998807,-0.047501,0.006693,0.009174,1
1785448824443722200,0.998807,-0.047502,0.006692,0.009177,1
1785448824463743700,0.998807,-0.047499,0.006695,0.009179,1
1785448824483778400,0.998807,-0.047494,0.006694,0.009180,1
1785448824503768300,0.998807,-0.047489,0.006687,0.009181,1
1785448824523735900,0.998807,-0.047488,0.006692,0.009179,1
1785448824543781500,0.998807,-0.047488,0.006693,0.009184,1
1785448824563678900,0.998807,-0.047486,0.006694,0.009185,1
1785448824583776100,0.998807,-0.047495,0.006681,0.009184,1
1785448824603658100,0.998807,-0.047494,0.006682,0.009185,1
1785448824623703300,0.998807,-0.047490,0.006683,0.009190,1
1785448824643657400,0.998807,-0.047496,0.006690,0.009192,1
1785448824663678600,0.998807,-0.047495,0.006693,0.009195,1
1785448824683612100,0.998807,-0.047493,0.006696,0.009196,1
1785448824703665200,0.998807,-0.047489,0.006701,0.009199,1
1785448824723644500,0.998807,-0.047492,0.006702,0.009200,1
1785448824743561500,0.998807,-0.047492,0.006699,0.009198,1
1785448824763629100,0.998807,-0.047493,0.006698,0.009198,1
1785448824783524300,0.998806,-0.047505,0.006693,0.009203,1
1785448824803586000,0.998806,-0.047503,0.006694,0.009204,1
1785448824823624200,0.998806,-0.047500,0.006696,0.009207,1
1785448824843496500,0.998807,-0.047495,0.006701,0.009209,1
1785448824863491200,0.998806,-0.047497,0.006703,0.009209,1
1785448824883521800,0.998807,-0.047496,0.006700,0.009208,1
1785448824903502400,0.998807,-0.047489,0.006698,0.009208,1
1785448824923411000,0.998807,-0.047491,0.006695,0.009213,1
1785448824943448100,0.998807,-0.047495,0.006694,0.009213,1
1785448824963485300,0.998807,-0.047494,0.006695,0.009212,1
1785448824983345000,0.998806,-0.047498,0.006694,0.009214,1
1785448825003426800,0.998807,-0.047494,0.006694,0.009215,1
1785448825023308300,0.998807,-0.047494,0.006696,0.009214,1
1785448825043376800,0.998807,-0.047493,0.006697,0.009213,1
1785448825063642300,0.998807,-0.047495,0.006695,0.009210,1
1785448825083395100,0.998807,-0.047493,0.006691,0.009208,1
1785448825103374600,0.998807,-0.047489,0.006686,0.009208,1
1785448825123308300,0.998807,-0.047490,0.006685,0.009210,1
1785448825143278000,0.998807,-0.047484,0.006681,0.009212,1
1785448825163223900,0.998807,-0.047483,0.006685,0.009213,1
1785448825183317100,0.998807,-0.047493,0.006681,0.009216,1
1785448825203243200,0.998807,-0.047495,0.006682,0.009211,1
1785448825223279500,0.998807,-0.047489,0.006682,0.009210,1
1785448825243273300,0.998807,-0.047487,0.006684,0.009206,1
1785448825263267000,0.998807,-0.047485,0.006685,0.009206,1
1785448825283411200,0.998807,-0.047482,0.006685,0.009206,1
1785448825303174100,0.998807,-0.047480,0.006687,0.009209,1
1785448825323183600,0.998807,-0.047478,0.006687,0.009212,1
1785448825343307200,0.998808,-0.047473,0.006692,0.009211,1
1785448825363154200,0.998808,-0.047474,0.006696,0.009210,1
1785448825383228500,0.998807,-0.047491,0.006692,0.009210,1
1785448825403189100,0.998807,-0.047491,0.006695,0.009214,1
1785448825423081900,0.998807,-0.047491,0.006697,0.009212,1
1785448825444104900,0.998807,-0.047490,0.006695,0.009214,1
1785448825464085900,0.998807,-0.047491,0.006697,0.009213,1
1785448825484082100,0.998807,-0.047489,0.006701,0.009216,1
1785448825504029500,0.998807,-0.047490,0.006701,0.009216,1
1785448825524045300,0.998807,-0.047492,0.006701,0.009214,1
1785448825544033200,0.998807,-0.047484,0.006702,0.009213,1
1785448825563981900,0.998807,-0.047482,0.006706,0.009211,1
1785448825584034700,0.998807,-0.047487,0.006702,0.009215,1
1785448825604042200,0.998807,-0.047489,0.006708,0.009216,1
1785448825624058700,0.998807,-0.047486,0.006713,0.009213,1
1785448825644025400,0.998807,-0.047485,0.006713,0.009212,1
1785448825663955100,0.998807,-0.047482,0.006715,0.009214,1
1785448825683967400,0.998807,-0.047482,0.006719,0.009219,1
1785448825703913800,0.998807,-0.047481,0.006718,0.009221,1
1785448825723942000,0.998807,-0.047476,0.006720,0.009221,1
1785448825743887400,0.998807,-0.047476,0.006721,0.009221,1
1785448825763881500,0.998807,-0.047475,0.006721,0.009218,1
1785448825783920300,0.998807,-0.047487,0.006714,0.009216,1
1785448825803963600,0.998807,-0.047487,0.006718,0.009215,1
1785448825823875800,0.998807,-0.047480,0.006723,0.009216,1
1785448825843868800,0.998807,-0.047477,0.006719,0.009218,1
1785448825863818300,0.998807,-0.047479,0.006716,0.009215,1
1785448825883776900,0.998807,-0.047479,0.006712,0.009218,1
1785448825903837700,0.998807,-0.047480,0.006710,0.009215,1
1785448825923781700,0.998807,-0.047475,0.006709,0.009215,1
1785448825943725700,0.998807,-0.047477,0.006712,0.009212,1
1785448825963793600,0.998807,-0.047474,0.006715,0.009211,1
1785448825983939500,0.998807,-0.047486,0.006709,0.009213,1
1785448826003773100,0.998807,-0.047482,0.006707,0.009214,1
1785448826023700600,0.998807,-0.047478,0.006706,0.009215,1
1785448826043734800,0.998807,-0.047478,0.006709,0.009215,1
1785448826063723400,0.998807,-0.047478,0.006710,0.009219,1
1785448826083755300,0.998807,-0.047478,0.006715,0.009220,1
1785448826103644000,0.998807,-0.047477,0.006714,0.009219,1
1785448826123659900,0.998807,-0.047477,0.006715,0.009219,1
1785448826143610000,0.998807,-0.047478,0.006716,0.009221,1
1785448826163752300,0.998807,-0.047475,0.006718,0.009224,1
1785448826183830000,0.998807,-0.047487,0.006711,0.009220,1
1785448826203661400,0.998807,-0.047485,0.006713,0.009221,1
1785448826223601700,0.998807,-0.047482,0.006715,0.009221,1
