date,ref_id,pos_x,pos_y,pos_z,yaw,segment,abs_x,abs_y,abs_z,abs_x_m,abs_y_m,abs_z_m,yaw_deg,step_mm
2026-08-18 20:02:31,13,-33069,1719,-9884,-1285,1,-33069,1719,-9884,-33.069,1.719,-9.884,-12.850,0.000
2026-08-18 20:02:31,13,-33069,1719,-9884,-1284,1,-33069,1719,-9884,-33.069,1.719,-9.884,-12.840,0.000
2026-08-18 20:02:31,13,-33069,1719,-9884,-1283,1,-33069,1719,-9884,-33.069,1.719,-9.884,-12.830,0.000
2026-08-18 20:02:31,13,-33069,1719,-9884,-1282,1,-33069,1719,-9884,-33.069,1.719,-9.884,-12.820,0.000
2026-08-18 20:02:31,13,-33069,1719,-9884,-1279,1,-33069,1719,-9884,-33.069,1.719,-9.884,-12.790,0.000
2026-08-18 20:02:32,13,-33069,1719,-9884,-1276,1,-33069,1719,-9884,-33.069,1.719,-9.884,-12.760,0.000
2026-08-18 20:02:32,13,-33069,1719,-9884,-1270,1,-33069,1719,-9884,-33.069,1.719,-9.884,-12.700,0.000
2026-08-18 20:02:32,13,-33069,1719,-9884,-1262,1,-33069,1719,-9884,-33.069,1.719,-9.884,-12.620,0.000
2026-08-18 20:02:32,13,-33069,1719,-9884,-1251,1,-33069,1719,-9884,-33.069,1.719,-9.884,-12.510,0.000
2026-08-18 20:02:32,13,-33069,1719,-9884,-1237,1,-33069,1719,-9884,-33.069,1.719,-9.884,-12.370,0.000
2026-08-18 20:02:32,13,-33096,1725,-9880,-1219,1,-33096,1725,-9880,-33.096,1.725,-9.880,-12.190,27.946
2026-08-18 20:02:32,13,-33123,1731,-9877,-1198,1,-33123,1731,-9877,-33.123,1.731,-9.877,-11.980,27.821
2026-08-18 20:02:32,13,-33150,1737,-9873,-1172,1,-33150,1737,-9873,-33.150,1.737,-9.873,-11.720,27.946
2026-08-18 20:02:32,13,-33204,1748,-9866,-1144,1,-33204,1748,-9866,-33.204,1.748,-9.866,-11.440,55.552
2026-08-18 20:02:32,13,-33259,1758,-9859,-1112,1,-33259,1758,-9859,-33.259,1.758,-9.859,-11.120,56.338
2026-08-18 20:02:33,13,-33313,1769,-9852,-1082,1,-33313,1769,-9852,-33.313,1.769,-9.852,-10.820,55.552
2026-08-18 20:02:33,13,-33393,1784,-9841,-1053,1,-33393,1784,-9841,-33.393,1.784,-9.841,-10.530,82.134
2026-08-18 20:02:33,13,-33312,1769,-9852,-1026,1,-33312,1769,-9852,-33.312,1.769,-9.852,-10.260,83.108
2026-08-18 20:02:33,13,-33230,1754,-9863,-998,1,-33230,1754,-9863,-33.230,1.754,-9.863,-9.980,84.083
2026-08-18 20:02:33,13,-33121,1736,-9877,-970,1,-33121,1736,-9877,-33.121,1.736,-9.877,-9.700,111.360
2026-08-18 20:02:33,13,-33012,1718,-9892,-936,1,-33012,1718,-9892,-33.012,1.718,-9.892,-9.360,111.490
2026-08-18 20:02:33,13,-32905,1700,-9906,-913,1,-32905,1700,-9906,-32.905,1.700,-9.906,-9.130,109.403
2026-08-18 20:02:33,13,-32769,1679,-9925,-894,1,-32769,1679,-9925,-32.769,1.679,-9.925,-8.940,138.917
2026-08-18 20:02:33,13,-32633,1658,-9943,-876,1,-32633,1658,-9943,-32.633,1.658,-9.943,-8.760,138.784
2026-08-18 20:02:33,13,-32495,1637,-9961,-861,1,-32495,1637,-9961,-32.495,1.637,-9.961,-8.610,140.744
2026-08-18 20:02:34,13,-32332,1612,-9983,-850,1,-32332,1612,-9983,-32.332,1.612,-9.983,-8.500,166.367
2026-08-18 20:02:34,13,-32170,1588,-10004,-842,1,-32170,1588,-10004,-32.170,1.588,-10.004,-8.420,165.109
2026-08-18 20:02:34,13,-32007,1564,-10026,-836,1,-32007,1564,-10026,-32.007,1.564,-10.026,-8.360,166.220
2026-08-18 20:02:34,13,-31843,1540,-10048,-831,1,-31843,1540,-10048,-31.843,1.540,-10.048,-8.310,167.200
2026-08-18 20:02:34,13,-31678,1516,-10070,-827,1,-31678,1516,-10070,-31.678,1.516,-10.070,-8.270,168.181
2026-08-18 20:02:34,13,-31487,1488,-10096,-823,1,-31487,1488,-10096,-31.487,1.488,-10.096,-8.230,194.784
2026-08-18 20:02:34,13,-31298,1461,-10122,-821,1,-31298,1461,-10122,-31.298,1.461,-10.122,-8.210,192.681
2026-08-18 20:02:34,13,-31106,1433,-10149,-818,1,-31106,1433,-10149,-31.106,1.433,-10.149,-8.180,195.900
2026-08-18 20:02:34,13,-30917,1406,-10175,-816,1,-30917,1406,-10175,-30.917,1.406,-10.175,-8.160,192.681
2026-08-18 20:02:34,13,-30726,1379,-10201,-811,1,-30726,1379,-10201,-30.726,1.379,-10.201,-8.110,194.643
2026-08-18 20:02:35,13,-30506,1348,-10231,-805,1,-30506,1348,-10231,-30.506,1.348,-10.231,-8.050,224.190
2026-08-18 20:02:35,13,-30290,1317,-10261,-801,1,-30290,1317,-10261,-30.290,1.317,-10.261,-8.010,220.266
2026-08-18 20:02:35,13,-30072,1287,-10291,-797,1,-30072,1287,-10291,-30.072,1.287,-10.291,-7.970,222.090
2026-08-18 20:02:35,13,-29852,1256,-10321,-794,1,-29852,1256,-10321,-29.852,1.256,-10.321,-7.940,224.190
2026-08-18 20:02:35,13,-29634,1226,-10351,-792,1,-29634,1226,-10351,-29.634,1.226,-10.351,-7.920,222.090
