time,ts,utm_x,utm_y,z,utm_zone_n,utm_zone_l,heading,inx_x,inx_y,inx_z,inx_yaw,raw
1787063819827,047B060000000000,0E7CB001,A5F9A133,6B430000,12000000,4C000000,94300000,00000000,00000000,00000000,15FFFFFF,047B0600000000000E7CB001A5F9A1336B430000120000004C0000009430000000000000000000000000000015FFFFFF
1787063819827,677B060000000000,0E7CB001,A5F9A133,6B430000,12000000,4C000000,94300000,00000000,00000000,00000000,15FFFFFF,677B0600000000000E7CB001A5F9A1336B430000120000004C0000009430000000000000000000000000000015FFFFFF
1787063819827,CC7B060000000000,0E7CB001,A5F9A133,6B430000,12000000,4C000000,93300000,00000000,00000000,00000000,14FFFFFF,CC7B0600000000000E7CB001A5F9A1336B430000120000004C0000009330000000000000000000000000000014FFFFFF
1787063820827,307C060000000000,0E7CB001,A5F9A133,6B430000,12000000,4C000000,93300000,00000000,00000000,00000000,14FFFFFF,307C0600000000000E7CB001A5F9A1336B430000120000004C0000009330000000000000000000000000000014FFFFFF
1787063820827,947C060000000000,0E7CB001,A5F9A133,6B430000,12000000,4C000000,93300000,00000000,00000000,00000000,14FFFFFF,947C0600000000000E7CB001A5F9A1336B430000120000004C0000009330000000000000000000000000000014FFFFFF
1787063820827,F87C060000000000,0E7CB001,A5F9A133,6B430000,12000000,4C000000,93300000,00000000,00000000,00000000,14FFFFFF,F87C0600000000000E7CB001A5F9A1336B430000120000004C0000009330000000000000000000000000000014FFFFFF
1787063820827,5C7D060000000000,0E7CB001,A5F9A133,6B430000,12000000,4C000000,93300000,00000000,00000000,00000000,14FFFFFF,5C7D0600000000000E7CB001A5F9A1336B430000120000004C0000009330000000000000000000000000000014FFFFFF
1787063820827,C07D060000000000,0E7CB001,A5F9A133,6B430000,12000000,4C000000,93300000,00000000,00000000,00000000,14FFFFFF,C07D0600000000000E7CB001A5F9A1336B430000120000004C0000009330000000000000000000000000000014FFFFFF
1787063820827,257E060000000000,0E7CB001,A5F9A133,6B430000,12000000,4C000000,93300000,00000000,00000000,00000000,14FFFFFF,257E0600000000000E7CB001A5F9A1336B430000120000004C0000009330000000000000000000000000000014FFFFFF
1787063820827,897E060000000000,0E7CB001,A5F9A133,6B430000,12000000,4C000000,93300000,00000000,00000000,00000000,14FFFFFF,897E0600000000000E7CB001A5F9A1336B430000120000004C0000009330000000000000000000000000000014FFFFFF
1787063820827,ED7E060000000000,0E7CB001,A5F9A133,6B430000,12000000,4C000000,92300000,00000000,00000000,00000000,13FFFFFF,ED7E0600000000000E7CB001A5F9A1336B430000120000004C0000009230000000000000000000000000000013FFFFFF
1787063820827,517F060000000000,0E7CB001,A5F9A133,6B430000,12000000,4C000000,92300000,00000000,00000000,00000000,13FFFFFF,517F0600000000000E7CB001A5F9A1336B430000120000004C0000009230000000000000000000000000000013FFFFFF
