time,ts,utm_x,utm_y,z,utm_zone_n,utm_zone_l,heading,inx_x,inx_y,inx_z,inx_yaw,raw
1787083104489,66F10C0000000000,401EB701,03BBB333,2A9F0000,12000000,4C000000,CC5F0000,97FFFFFF,0B000000,E6FFFFFF,FB430000,66F10C0000000000401EB70103BBB3332A9F0000120000004C000000CC5F000097FFFFFF0B000000E6FFFFFFFB430000
1787083104489,CAF10C0000000000,0A1EB701,FEBAB333,2A9F0000,12000000,4C000000,CA5F0000,61FFFFFF,11000000,D8FFFFFF,F9430000,CAF10C00000000000A1EB701FEBAB3332A9F0000120000004C000000CA5F000061FFFFFF11000000D8FFFFFFF9430000
1787083104489,2EF20C0000000000,D51DB701,F8BAB333,2A9F0000,12000000,4C000000,C85F0000,2CFFFFFF,16000000,CBFFFFFF,F7430000,2EF20C0000000000D51DB701F8BAB3332A9F0000120000004C000000C85F00002CFFFFFF16000000CBFFFFFFF7430000
1787083104489,93F20C0000000000,9F1DB701,F3BAB333,2A9F0000,12000000,4C000000,C75F0000,F6FEFFFF,1C000000,BDFFFFFF,F6430000,93F20C00000000009F1DB701F3BAB3332A9F0000120000004C000000C75F0000F6FEFFFF1C000000BDFFFFFFF6430000
1787083105489,F7F20C0000000000,6A1DB701,EDBAB333,2A9F0000,12000000,4C000000,C65F0000,C1FEFFFF,22000000,B0FFFFFF,F5430000,F7F20C00000000006A1DB701EDBAB3332A9F0000120000004C000000C65F0000C1FEFFFF22000000B0FFFFFFF5430000
1787083105489,5BF30C0000000000,341DB701,E7BAB333,2A9F0000,12000000,4C000000,C35F0000,8BFEFFFF,27000000,A2FFFFFF,F2430000,5BF30C0000000000341DB701E7BAB3332A9F0000120000004C000000C35F00008BFEFFFF27000000A2FFFFFFF2430000
1787083105489,BFF30C0000000000,FE1CB701,E2BAB333,2A9F0000,12000000,4C000000,C05F0000,55FEFFFF,2D000000,95FFFFFF,EF430000,BFF30C0000000000FE1CB701E2BAB3332A9F0000120000004C000000C05F000055FEFFFF2D00000095FFFFFFEF430000
1787083105489,23F40C0000000000,C81CB701,DCBAB333,2A9F0000,12000000,4C000000,BF5F0000,1FFEFFFF,33000000,87FFFFFF,EE430000,23F40C0000000000C81CB701DCBAB3332A9F0000120000004C000000BF5F00001FFEFFFF3300000087FFFFFFEE430000
1787083105489,87F40C0000000000,931CB701,D6BAB333,2A9F0000,12000000,4C000000,BE5F0000,EAFDFFFF,38000000,7AFFFFFF,ED430000,87F40C0000000000931CB701D6BAB3332A9F0000120000004C000000BE5F0000EAFDFFFF380000007AFFFFFFED430000
1787083105489,ECF40C0000000000,5D1CB701,D0BAB333,2A9F0000,12000000,4C000000,BC5F0000,B5FDFFFF,3E000000,6DFFFFFF,EB430000,ECF40C00000000005D1CB701D0BAB3332A9F0000120000004C000000BC5F0000B5FDFFFF3E0000006DFFFFFFEB430000
1787083105489,50F50C0000000000,2A1CB701,B8BAB333,2A9F0000,12000000,4C000000,BA5F0000,7CFDFFFF,44000000,5FFFFFFF,E9430000,50F50C00000000002A1CB701B8BAB3332A9F0000120000004C000000BA5F00007CFDFFFF440000005FFFFFFFE9430000
1787083105489,B4F50C0000000000,F71BB701,A0BAB333,2A9F0000,12000000,4C000000,B85F0000,44FDFFFF,4A000000,51FFFFFF,E7430000,B4F50C0000000000F71BB701A0BAB3332A9F0000120000004C000000B85F000044FDFFFF4A00000051FFFFFFE7430000
1787083105489,18F60C0000000000,C41BB701,88BAB333,2A9F0000,12000000,4C000000,B65F0000,0CFDFFFF,50000000,43FFFFFF,E5430000,18F60C0000000000C41BB70188BAB3332A9F0000120000004C000000B65F00000CFDFFFF5000000043FFFFFFE5430000
1787083105489,7CF60C0000000000,901BB701,70BAB333,2A9F0000,12000000,4C000000,B55F0000,D3FCFFFF,57000000,35FFFFFF,E4430000,7CF60C0000000000901BB70170BAB3332A9F0000120000004C000000B55F0000D3FCFFFF5700000035FFFFFFE4430000
1787083106489,E0F60C0000000000,5D1BB701,58BAB333,2A9F0000,12000000,4C000000,B45F0000,9BFCFFFF,5D000000,28FFFFFF,E3430000,E0F60C00000000005D1BB70158BAB3332A9F0000120000004C000000B45F00009BFCFFFF5D00000028FFFFFFE3430000
1787083106489,44F70C0000000000,2A1BB701,40BAB333,2A9F0000,12000000,4C000000,B35F0000,62FCFFFF,63000000,1AFFFFFF,E2430000,44F70C00000000002A1BB70140BAB3332A9F0000120000004C000000B35F000062FCFFFF630000001AFFFFFFE2430000
1787083106489,A8F70C0000000000,F61AB701,28BAB333,2A9F0000,12000000,4C000000,B15F0000,2AFCFFFF,69000000,0CFFFFFF,E0430000,A8F70C0000000000F61AB70128BAB3332A9F0000120000004C000000B15F00002AFCFFFF690000000CFFFFFFE0430000
1787083106489,0DF80C0000000000,C21AB701,0FBAB333,2A9F0000,12000000,4C000000,B05F0000,F1FBFFFF,6F000000,FEFEFFFF,DF430000,0DF80C0000000000C21AB7010FBAB3332A9F0000120000004C000000B05F0000F1FBFFFF6F000000FEFEFFFFDF430000
1787083106489,71F80C0000000000,901AB701,F8B9B333,2A9F0000,12000000,4C000000,AE5F0000,B9FBFFFF,75000000,F1FEFFFF,DD430000,71F80C0000000000901AB701F8B9B3332A9F0000120000004C000000AE5F0000B9FBFFFF75000000F1FEFFFFDD430000
1787083106489,D5F80C0000000000,5C1AB701,E0B9B333,2A9F0000,12000000,4C000000,AC5F0000,81FBFFFF,7B000000,E3FEFFFF,DB430000,D5F80C00000000005C1AB701E0B9B3332A9F0000120000004C000000AC5F000081FBFFFF7B000000E3FEFFFFDB430000
1787083106489,39F90C0000000000,261AB701,C6B9B333,2A9F0000,12000000,4C000000,AD5F0000,46FBFFFF,82000000,D5FEFFFF,DC430000,39F90C0000000000261AB701C6B9B3332A9F0000120000004C000000AD5F000046FBFFFF82000000D5FEFFFFDC430000
