time,ts,utm_x,utm_y,z,utm_zone_n,utm_zone_l,heading,inx_x,inx_y,inx_z,inx_yaw,raw
1787234498722,AE6D020000000000,D11EB701,14BBB333,2A9F0000,12000000,4C000000,16190000,B9000000,ECFFFFFF,E2FFFFFF,63FDFFFF,AE6D020000000000D11EB70114BBB3332A9F0000120000004C00000016190000B9000000ECFFFFFFE2FFFFFF63FDFFFF
1787234498722,C16D020000000000,2D1FB701,1FBBB333,2A9F0000,12000000,4C000000,0E190000,16010000,E1FFFFFF,D2FFFFFF,5BFDFFFF,C16D0200000000002D1FB7011FBBB3332A9F0000120000004C0000000E19000016010000E1FFFFFFD2FFFFFF5BFDFFFF
1787234498722,D56D020000000000,8A1FB701,2ABBB333,2A9F0000,12000000,4C000000,04190000,72010000,D6FFFFFF,C2FFFFFF,51FDFFFF,D56D0200000000008A1FB7012ABBB3332A9F0000120000004C0000000419000072010000D6FFFFFFC2FFFFFF51FDFFFF
1787234498722,EA6D020000000000,E61FB701,35BBB333,2A9F0000,12000000,4C000000,F8180000,CE010000,CAFFFFFF,B3FFFFFF,45FDFFFF,EA6D020000000000E61FB70135BBB3332A9F0000120000004C000000F8180000CE010000CAFFFFFFB3FFFFFF45FDFFFF
1787234498722,FF6D020000000000,4320B701,40BBB333,2A9F0000,12000000,4C000000,EC180000,2B020000,BFFFFFFF,A3FFFFFF,39FDFFFF,FF6D0200000000004320B70140BBB3332A9F0000120000004C000000EC1800002B020000BFFFFFFFA3FFFFFF39FDFFFF
1787234498722,126E020000000000,9F20B701,4CBBB333,2A9F0000,12000000,4C000000,E0180000,87020000,B3FFFFFF,94FFFFFF,2DFDFFFF,126E0200000000009F20B7014CBBB3332A9F0000120000004C000000E018000087020000B3FFFFFF94FFFFFF2DFDFFFF
1787234498722,266E020000000000,FC20B701,58BBB333,2A9F0000,12000000,4C000000,D5180000,E4020000,A8FFFFFF,84FFFFFF,22FDFFFF,266E020000000000FC20B70158BBB3332A9F0000120000004C000000D5180000E4020000A8FFFFFF84FFFFFF22FDFFFF
1787234498722,3A6E020000000000,5821B701,64BBB333,2A9F0000,12000000,4C000000,CA180000,40030000,9CFFFFFF,74FFFFFF,17FDFFFF,3A6E0200000000005821B70164BBB3332A9F0000120000004C000000CA180000400300009CFFFFFF74FFFFFF17FDFFFF
1787234498722,4F6E020000000000,B421B701,70BBB333,2A9F0000,12000000,4C000000,C1180000,9C030000,8FFFFFFF,65FFFFFF,0EFDFFFF,4F6E020000000000B421B70170BBB3332A9F0000120000004C000000C11800009C0300008FFFFFFF65FFFFFF0EFDFFFF
1787234498722,636E020000000000,1122B701,7CBBB333,2A9F0000,12000000,4C000000,B8180000,F9030000,83FFFFFF,55FFFFFF,05FDFFFF,636E0200000000001122B7017CBBB3332A9F0000120000004C000000B8180000F903000083FFFFFF55FFFFFF05FDFFFF
1787234498722,766E020000000000,6322B701,A7BBB333,2A9F0000,12000000,4C000000,B0180000,55040000,77FFFFFF,46FFFFFF,FDFCFFFF,766E0200000000006322B701A7BBB3332A9F0000120000004C000000B01800005504000077FFFFFF46FFFFFFFDFCFFFF
1787234498722,8B6E020000000000,B622B701,D2BBB333,2A9F0000,12000000,4C000000,A6180000,B2040000,6AFFFFFF,37FFFFFF,F3FCFFFF,8B6E020000000000B622B701D2BBB3332A9F0000120000004C000000A6180000B20400006AFFFFFF37FFFFFFF3FCFFFF
1787234498722,A46E020000000000,0A23B701,FEBBB333,2A9F0000,12000000,4C000000,9D180000,0F050000,5DFFFFFF,27FFFFFF,EAFCFFFF,A46E0200000000000A23B701FEBBB3332A9F0000120000004C0000009D1800000F0500005DFFFFFF27FFFFFFEAFCFFFF
1787234498722,B36E020000000000,5B23B701,28BCB333,2A9F0000,12000000,4C000000,95180000,6A050000,50FFFFFF,18FFFFFF,E2FCFFFF,B36E0200000000005B23B70128BCB3332A9F0000120000004C000000951800006A05000050FFFFFF18FFFFFFE2FCFFFF
1787234498722,C66E020000000000,AE23B701,54BCB333,2A9F0000,12000000,4C000000,99180000,C6050000,43FFFFFF,08FFFFFF,E6FCFFFF,C66E020000000000AE23B70154BCB3332A9F0000120000004C00000099180000C605000043FFFFFF08FFFFFFE6FCFFFF
