time,ts,utm_x,utm_y,z,utm_zone_n,utm_zone_l,heading,inx_x,inx_y,inx_z,inx_yaw,raw
1787173511901,9B84EAAA00000000,B53BB701,DCC6B333,DD9D0000,12000000,4C000000,3DF7FFFF,D70B0000,A4FEFFFF,09FEFFFF,87FDFFFF,9B84EAAA00000000B53BB701DCC6B333DD9D0000120000004C0000003DF7FFFFD70B0000A4FEFFFF09FEFFFF87FDFFFF
1787173511901,9B84EAAA00000000,093DB701,02C7B333,DD9D0000,12000000,4C000000,42F7FFFF,2C0D0000,7FFEFFFF,D1FDFFFF,8CFDFFFF,9B84EAAA00000000093DB70102C7B333DD9D0000120000004C00000042F7FFFF2C0D00007FFEFFFFD1FDFFFF8CFDFFFF
1787173511901,9B84EAAA00000000,B840B701,6BC7B333,DD9D0000,12000000,4C000000,26F7FFFF,DB100000,16FEFFFF,39FDFFFF,70FDFFFF,9B84EAAA00000000B840B7016BC7B333DD9D0000120000004C00000026F7FFFFDB10000016FEFFFF39FDFFFF70FDFFFF
1787173511901,9B84EAAA00000000,0744B701,E5C7B333,DD9D0000,12000000,4C000000,C1F5FFFF,29140000,9BFDFFFF,B1FCFFFF,0BFCFFFF,9B84EAAA000000000744B701E5C7B333DD9D0000120000004C000000C1F5FFFF291400009BFDFFFFB1FCFFFF0BFCFFFF
1787173511901,9B84EAAA00000000,D248B701,77C8B333,DD9D0000,12000000,4C000000,64FDFFFF,F4180000,0AFDFFFF,EAFBFFFF,AD030000,9B84EAAA00000000D248B70177C8B333DD9D0000120000004C00000064FDFFFFF41800000AFDFFFFEAFBFFFFAD030000
1787173511901,9B84EAAA00000000,3E4AB701,DBC7B333,DD9D0000,12000000,4C000000,5A090000,611A0000,A6FDFFFF,C4FBFFFF,A40F0000,9B84EAAA000000003E4AB701DBC7B333DD9D0000120000004C0000005A090000611A0000A6FDFFFFC4FBFFFFA40F0000
1787173511901,9B84EAAA00000000,484AB701,D2C7B333,DD9D0000,12000000,4C000000,D3090000,6B1A0000,AEFDFFFF,C1FBFFFF,1D100000,9B84EAAA00000000484AB701D2C7B333DD9D0000120000004C000000D30900006B1A0000AEFDFFFFC1FBFFFF1D100000
1787173511901,9B84EAAA00000000,534AB701,C9C7B333,DD9D0000,12000000,4C000000,4F0A0000,751A0000,B8FDFFFF,BFFBFFFF,99100000,9B84EAAA00000000534AB701C9C7B333DD9D0000120000004C0000004F0A0000751A0000B8FDFFFFBFFBFFFF99100000
1787173511901,9B84EAAA00000000,5D4AB701,C0C7B333,DD9D0000,12000000,4C000000,CE0A0000,7F1A0000,C1FDFFFF,BDFBFFFF,18110000,9B84EAAA000000005D4AB701C0C7B333DD9D0000120000004C000000CE0A00007F1A0000C1FDFFFFBDFBFFFF18110000
1787173511901,9B84EAAA00000000,654AB701,B8C7B333,DD9D0000,12000000,4C000000,470B0000,871A0000,C9FDFFFF,BBFBFFFF,91110000,9B84EAAA00000000654AB701B8C7B333DD9D0000120000004C000000470B0000871A0000C9FDFFFFBBFBFFFF91110000
