time,ts,utm_x,utm_y,z,utm_zone_n,utm_zone_l,heading,inx_x,inx_y,inx_z,inx_yaw,raw
1787236544237,7E4DACAE00000000,D11EB701,14BBB333,2A9F0000,12000000,4C000000,A2190000,B9000000,ECFFFFFF,E2FFFFFF,63FDFFFF,7E4DACAE00000000D11EB70114BBB3332A9F0000120000004C000000A2190000B9000000ECFFFFFFE2FFFFFF63FDFFFF
1787236544237,E24DACAE00000000,2D1FB701,1FBBB333,2A9F0000,12000000,4C000000,9A190000,16010000,E1FFFFFF,D2FFFFFF,5BFDFFFF,E24DACAE000000002D1FB7011FBBB3332A9F0000120000004C0000009A19000016010000E1FFFFFFD2FFFFFF5BFDFFFF
1787236544237,464EACAE00000000,8A1FB701,2ABBB333,2A9F0000,12000000,4C000000,90190000,72010000,D6FFFFFF,C2FFFFFF,51FDFFFF,464EACAE000000008A1FB7012ABBB3332A9F0000120000004C0000009019000072010000D6FFFFFFC2FFFFFF51FDFFFF
1787236544237,AA4EACAE00000000,E61FB701,35BBB333,2A9F0000,12000000,4C000000,84190000,CE010000,CAFFFFFF,B3FFFFFF,45FDFFFF,AA4EACAE00000000E61FB70135BBB3332A9F0000120000004C00000084190000CE010000CAFFFFFFB3FFFFFF45FDFFFF
1787236544237,0F4FACAE00000000,4320B701,40BBB333,2A9F0000,12000000,4C000000,78190000,2B020000,BFFFFFFF,A3FFFFFF,39FDFFFF,0F4FACAE000000004320B70140BBB3332A9F0000120000004C000000781900002B020000BFFFFFFFA3FFFFFF39FDFFFF
1787236544237,734FACAE00000000,9F20B701,4CBBB333,2A9F0000,12000000,4C000000,6C190000,87020000,B3FFFFFF,94FFFFFF,2DFDFFFF,734FACAE000000009F20B7014CBBB3332A9F0000120000004C0000006C19000087020000B3FFFFFF94FFFFFF2DFDFFFF
1787236544237,D74FACAE00000000,FC20B701,58BBB333,2A9F0000,12000000,4C000000,61190000,E4020000,A8FFFFFF,84FFFFFF,22FDFFFF,D74FACAE00000000FC20B70158BBB3332A9F0000120000004C00000061190000E4020000A8FFFFFF84FFFFFF22FDFFFF
1787236544237,3B50ACAE00000000,5821B701,64BBB333,2A9F0000,12000000,4C000000,56190000,40030000,9CFFFFFF,74FFFFFF,17FDFFFF,3B50ACAE000000005821B70164BBB3332A9F0000120000004C00000056190000400300009CFFFFFF74FFFFFF17FDFFFF
1787236545237,9F50ACAE00000000,B421B701,70BBB333,2A9F0000,12000000,4C000000,4D190000,9C030000,8FFFFFFF,65FFFFFF,0EFDFFFF,9F50ACAE00000000B421B70170BBB3332A9F0000120000004C0000004D1900009C0300008FFFFFFF65FFFFFF0EFDFFFF
1787236545237,0351ACAE00000000,1122B701,7CBBB333,2A9F0000,12000000,4C000000,44190000,F9030000,83FFFFFF,55FFFFFF,05FDFFFF,0351ACAE000000001122B7017CBBB3332A9F0000120000004C00000044190000F903000083FFFFFF55FFFFFF05FDFFFF
1787236545237,6751ACAE00000000,6422B701,A5BBB333,2A9F0000,12000000,4C000000,3C190000,55040000,77FFFFFF,46FFFFFF,FDFCFFFF,6751ACAE000000006422B701A5BBB3332A9F0000120000004C0000003C1900005504000077FFFFFF46FFFFFFFDFCFFFF
1787236545237,CC51ACAE00000000,B822B701,CEBBB333,2A9F0000,12000000,4C000000,32190000,B2040000,6AFFFFFF,37FFFFFF,F3FCFFFF,CC51ACAE00000000B822B701CEBBB3332A9F0000120000004C00000032190000B20400006AFFFFFF37FFFFFFF3FCFFFF
1787236545237,3052ACAE00000000,0D23B701,F7BBB333,2A9F0000,12000000,4C000000,29190000,0F050000,5DFFFFFF,27FFFFFF,EAFCFFFF,3052ACAE000000000D23B701F7BBB3332A9F0000120000004C000000291900000F0500005DFFFFFF27FFFFFFEAFCFFFF
1787236545237,9452ACAE00000000,5F23B701,20BCB333,2A9F0000,12000000,4C000000,21190000,6A050000,50FFFFFF,18FFFFFF,E2FCFFFF,9452ACAE000000005F23B70120BCB3332A9F0000120000004C000000211900006A05000050FFFFFF18FFFFFFE2FCFFFF
