time,ts,utm_x,utm_y,z,utm_zone_n,utm_zone_l,heading,inx_x,inx_y,inx_z,inx_yaw,raw
1787258033615,3E35F4AF00000000,BC36B701,50C6B333,DD9D0000,12000000,4C000000,AF190000,B9000000,E9FFFFFF,E2FFFFFF,2FFDFFFF,3E35F4AF00000000BC36B70150C6B333DD9D0000120000004C000000AF190000B9000000E9FFFFFFE2FFFFFF2FFDFFFF
1787258033615,A235F4AF00000000,1937B701,5CC6B333,DD9D0000,12000000,4C000000,B9190000,15010000,DEFFFFFF,D2FFFFFF,39FDFFFF,A235F4AF000000001937B7015CC6B333DD9D0000120000004C000000B919000015010000DEFFFFFFD2FFFFFF39FDFFFF
1787258033615,0636F4AF00000000,7537B701,67C6B333,DD9D0000,12000000,4C000000,C1190000,72010000,D2FFFFFF,C3FFFFFF,41FDFFFF,0636F4AF000000007537B70167C6B333DD9D0000120000004C000000C119000072010000D2FFFFFFC3FFFFFF41FDFFFF
1787258033615,6B36F4AF00000000,D137B701,73C6B333,DD9D0000,12000000,4C000000,CA190000,CE010000,C7FFFFFF,B3FFFFFF,4AFDFFFF,6B36F4AF00000000D137B70173C6B333DD9D0000120000004C000000CA190000CE010000C7FFFFFFB3FFFFFF4AFDFFFF
1787258033615,CE36F4AF00000000,2E38B701,7EC6B333,DD9D0000,12000000,4C000000,D2190000,2B020000,BCFFFFFF,A3FFFFFF,52FDFFFF,CE36F4AF000000002E38B7017EC6B333DD9D0000120000004C000000D21900002B020000BCFFFFFFA3FFFFFF52FDFFFF
1787258034615,3337F4AF00000000,8A38B701,89C6B333,DD9D0000,12000000,4C000000,DB190000,87020000,B0FFFFFF,94FFFFFF,5BFDFFFF,3337F4AF000000008A38B70189C6B333DD9D0000120000004C000000DB19000087020000B0FFFFFF94FFFFFF5BFDFFFF
1787258034615,9837F4AF00000000,E738B701,94C6B333,DD9D0000,12000000,4C000000,E2190000,E3020000,A5FFFFFF,84FFFFFF,62FDFFFF,9837F4AF00000000E738B70194C6B333DD9D0000120000004C000000E2190000E3020000A5FFFFFF84FFFFFF62FDFFFF
1787258034615,FB37F4AF00000000,4339B701,9FC6B333,DD9D0000,12000000,4C000000,E8190000,40030000,9BFFFFFF,75FFFFFF,68FDFFFF,FB37F4AF000000004339B7019FC6B333DD9D0000120000004C000000E8190000400300009BFFFFFF75FFFFFF68FDFFFF
1787258034615,6038F4AF00000000,A039B701,AAC6B333,DD9D0000,12000000,4C000000,EC190000,9D030000,90FFFFFF,65FFFFFF,6CFDFFFF,6038F4AF00000000A039B701AAC6B333DD9D0000120000004C000000EC1900009D03000090FFFFFF65FFFFFF6CFDFFFF
1787258034615,C338F4AF00000000,FD39B701,B5C6B333,DD9D0000,12000000,4C000000,F1190000,FA030000,85FFFFFF,56FFFFFF,71FDFFFF,C338F4AF00000000FD39B701B5C6B333DD9D0000120000004C000000F1190000FA03000085FFFFFF56FFFFFF71FDFFFF
