time,ts,utm_x,utm_y,z,utm_zone_n,utm_zone_l,heading,inx_x,inx_y,inx_z,inx_yaw,raw
1787234071821,FC9386AE00000000,D11EB701,14BBB333,2A9F0000,12000000,4C000000,28190000,B9000000,ECFFFFFF,E2FFFFFF,63FDFFFF,FC9386AE00000000D11EB70114BBB3332A9F0000120000004C00000028190000B9000000ECFFFFFFE2FFFFFF63FDFFFF
1787234071821,0F9486AE00000000,2D1FB701,1FBBB333,2A9F0000,12000000,4C000000,20190000,16010000,E1FFFFFF,D2FFFFFF,5BFDFFFF,0F9486AE000000002D1FB7011FBBB3332A9F0000120000004C0000002019000016010000E1FFFFFFD2FFFFFF5BFDFFFF
1787234071821,239486AE00000000,8A1FB701,2ABBB333,2A9F0000,12000000,4C000000,16190000,72010000,D6FFFFFF,C2FFFFFF,51FDFFFF,239486AE000000008A1FB7012ABBB3332A9F0000120000004C0000001619000072010000D6FFFFFFC2FFFFFF51FDFFFF
1787234071821,389486AE00000000,E61FB701,35BBB333,2A9F0000,12000000,4C000000,0A190000,CE010000,CAFFFFFF,B3FFFFFF,45FDFFFF,389486AE00000000E61FB70135BBB3332A9F0000120000004C0000000A190000CE010000CAFFFFFFB3FFFFFF45FDFFFF
1787234071821,4C9486AE00000000,4320B701,40BBB333,2A9F0000,12000000,4C000000,FE180000,2B020000,BFFFFFFF,A3FFFFFF,39FDFFFF,4C9486AE000000004320B70140BBB3332A9F0000120000004C000000FE1800002B020000BFFFFFFFA3FFFFFF39FDFFFF
1787234071821,5F9486AE00000000,9F20B701,4CBBB333,2A9F0000,12000000,4C000000,F2180000,87020000,B3FFFFFF,94FFFFFF,2DFDFFFF,5F9486AE000000009F20B7014CBBB3332A9F0000120000004C000000F218000087020000B3FFFFFF94FFFFFF2DFDFFFF
1787234071821,749486AE00000000,FC20B701,58BBB333,2A9F0000,12000000,4C000000,E7180000,E4020000,A8FFFFFF,84FFFFFF,22FDFFFF,749486AE00000000FC20B70158BBB3332A9F0000120000004C000000E7180000E4020000A8FFFFFF84FFFFFF22FDFFFF
1787234071821,879486AE00000000,5821B701,64BBB333,2A9F0000,12000000,4C000000,DC180000,40030000,9CFFFFFF,74FFFFFF,17FDFFFF,879486AE000000005821B70164BBB3332A9F0000120000004C000000DC180000400300009CFFFFFF74FFFFFF17FDFFFF
1787234071821,9C9486AE00000000,B421B701,70BBB333,2A9F0000,12000000,4C000000,D3180000,9C030000,8FFFFFFF,65FFFFFF,0EFDFFFF,9C9486AE00000000B421B70170BBB3332A9F0000120000004C000000D31800009C0300008FFFFFFF65FFFFFF0EFDFFFF
1787234071821,AF9486AE00000000,1122B701,7CBBB333,2A9F0000,12000000,4C000000,CA180000,F9030000,83FFFFFF,55FFFFFF,05FDFFFF,AF9486AE000000001122B7017CBBB3332A9F0000120000004C000000CA180000F903000083FFFFFF55FFFFFF05FDFFFF
1787234071821,C39486AE00000000,6422B701,A7BBB333,2A9F0000,12000000,4C000000,C2180000,55040000,77FFFFFF,46FFFFFF,FDFCFFFF,C39486AE000000006422B701A7BBB3332A9F0000120000004C000000C21800005504000077FFFFFF46FFFFFFFDFCFFFF
1787234071821,D89486AE00000000,B622B701,D1BBB333,2A9F0000,12000000,4C000000,B8180000,B2040000,6AFFFFFF,37FFFFFF,F3FCFFFF,D89486AE00000000B622B701D1BBB3332A9F0000120000004C000000B8180000B20400006AFFFFFF37FFFFFFF3FCFFFF
1787234071821,EC9486AE00000000,0A23B701,FDBBB333,2A9F0000,12000000,4C000000,AF180000,0F050000,5DFFFFFF,27FFFFFF,EAFCFFFF,EC9486AE000000000A23B701FDBBB3332A9F0000120000004C000000AF1800000F0500005DFFFFFF27FFFFFFEAFCFFFF
1787234071821,009586AE00000000,5C23B701,27BCB333,2A9F0000,12000000,4C000000,A7180000,6A050000,50FFFFFF,18FFFFFF,E2FCFFFF,009586AE000000005C23B70127BCB3332A9F0000120000004C000000A71800006A05000050FFFFFF18FFFFFFE2FCFFFF
1787234071821,139586AE00000000,AE23B701,52BCB333,2A9F0000,12000000,4C000000,AB180000,C6050000,43FFFFFF,08FFFFFF,E6FCFFFF,139586AE00000000AE23B70152BCB3332A9F0000120000004C000000AB180000C605000043FFFFFF08FFFFFFE6FCFFFF
1787234071821,289586AE00000000,0124B701,7DBCB333,2A9F0000,12000000,4C000000,BA180000,23060000,36FFFFFF,F9FEFFFF,F5FCFFFF,289586AE000000000124B7017DBCB3332A9F0000120000004C000000BA1800002306000036FFFFFFF9FEFFFFF5FCFFFF
1787234071821,3C9586AE00000000,5424B701,A8BCB333,2A9F0000,12000000,4C000000,CB180000,7F060000,2AFFFFFF,EAFEFFFF,06FDFFFF,3C9586AE000000005424B701A8BCB3332A9F0000120000004C000000CB1800007F0600002AFFFFFFEAFEFFFF06FDFFFF
1787234071821,509586AE00000000,A724B701,D2BCB333,2A9F0000,12000000,4C000000,D8180000,DB060000,1EFFFFFF,DAFEFFFF,13FDFFFF,509586AE00000000A724B701D2BCB3332A9F0000120000004C000000D8180000DB0600001EFFFFFFDAFEFFFF13FDFFFF
1787234072821,319786AE00000000,BB36B701,4FC6B333,DD9D0000,12000000,4C000000,9B190000,50080000,09FFFFFF,9DFEFFFF,88FDFFFF,319786AE00000000BB36B7014FC6B333DD9D0000120000004C0000009B1900005008000009FFFFFF9DFEFFFF88FDFFFF
1787234072821,459786AE00000000,1837B701,59C6B333,DD9D0000,12000000,4C000000,9C190000,AD080000,FFFEFFFF,8EFEFFFF,89FDFFFF,459786AE000000001837B70159C6B333DD9D0000120000004C0000009C190000AD080000FFFEFFFF8EFEFFFF89FDFFFF
1787234072821,589786AE00000000,7537B701,63C6B333,DD9D0000,12000000,4C000000,9A190000,0A090000,F4FEFFFF,7EFEFFFF,87FDFFFF,589786AE000000007537B70163C6B333DD9D0000120000004C0000009A1900000A090000F4FEFFFF7EFEFFFF87FDFFFF
1787234072821,6D9786AE00000000,D137B701,6EC6B333,DD9D0000,12000000,4C000000,9A190000,66090000,EAFEFFFF,6FFEFFFF,87FDFFFF,6D9786AE00000000D137B7016EC6B333DD9D0000120000004C0000009A19000066090000EAFEFFFF6FFEFFFF87FDFFFF
1787234072821,819786AE00000000,2B38B701,78C6B333,DD9D0000,12000000,4C000000,98190000,C0090000,E0FEFFFF,61FEFFFF,85FDFFFF,819786AE000000002B38B70178C6B333DD9D0000120000004C00000098190000C0090000E0FEFFFF61FEFFFF85FDFFFF
1787234072821,959786AE00000000,8538B701,82C6B333,DD9D0000,12000000,4C000000,98190000,1A0A0000,D6FEFFFF,52FEFFFF,85FDFFFF,959786AE000000008538B70182C6B333DD9D0000120000004C000000981900001A0A0000D6FEFFFF52FEFFFF85FDFFFF
1787234072821,A89786AE00000000,DF38B701,8CC6B333,DD9D0000,12000000,4C000000,97190000,740A0000,CCFEFFFF,43FEFFFF,84FDFFFF,A89786AE00000000DF38B7018CC6B333DD9D0000120000004C00000097190000740A0000CCFEFFFF43FEFFFF84FDFFFF
1787234072821,BD9786AE00000000,3939B701,96C6B333,DD9D0000,12000000,4C000000,98190000,CE0A0000,C2FEFFFF,34FEFFFF,85FDFFFF,BD9786AE000000003939B70196C6B333DD9D0000120000004C00000098190000CE0A0000C2FEFFFF34FEFFFF85FDFFFF
1787234072821,D19786AE00000000,9339B701,A0C6B333,DD9D0000,12000000,4C000000,99190000,280B0000,B8FEFFFF,26FEFFFF,86FDFFFF,D19786AE000000009339B701A0C6B333DD9D0000120000004C00000099190000280B0000B8FEFFFF26FEFFFF86FDFFFF
