time,ts,utm_x,utm_y,z,utm_zone_n,utm_zone_l,heading,inx_x,inx_y,inx_z,inx_yaw,raw
1784672294328,CA9B640000000000,C7D0AA01,0781A033,662D0000,12000000,4C000000,6E730000,BD000000,00000000,FEFFFFFF,EFFFFFFF,CA9B640000000000C7D0AA010781A033662D0000120000004C0000006E730000BD00000000000000FEFFFFFFEFFFFFFF
1784672294328,2F9C640000000000,06D1AA01,0781A033,662D0000,12000000,4C000000,6E730000,FC000000,00000000,FDFFFFFF,EFFFFFFF,2F9C64000000000006D1AA010781A033662D0000120000004C0000006E730000FC00000000000000FDFFFFFFEFFFFFFF
1784672294328,929C640000000000,45D1AA01,0781A033,662D0000,12000000,4C000000,6E730000,3B010000,00000000,FCFFFFFF,EFFFFFFF,929C64000000000045D1AA010781A033662D0000120000004C0000006E7300003B01000000000000FCFFFFFFEFFFFFFF
1784672294328,F69C640000000000,84D1AA01,0781A033,662D0000,12000000,4C000000,6E730000,7A010000,00000000,FBFFFFFF,EFFFFFFF,F69C64000000000084D1AA010781A033662D0000120000004C0000006E7300007A01000000000000FBFFFFFFEFFFFFFF
1784672294328,5A9D640000000000,BFD1AA01,0781A033,662D0000,12000000,4C000000,6E730000,B5010000,00000000,FAFFFFFF,EFFFFFFF,5A9D640000000000BFD1AA010781A033662D0000120000004C0000006E730000B501000000000000FAFFFFFFEFFFFFFF
1784672294328,BF9D640000000000,FAD1AA01,0781A033,662D0000,12000000,4C000000,6E730000,F0010000,00000000,F9FFFFFF,EFFFFFFF,BF9D640000000000FAD1AA010781A033662D0000120000004C0000006E730000F001000000000000F9FFFFFFEFFFFFFF
1784672294328,239E640000000000,35D2AA01,0781A033,662D0000,12000000,4C000000,6D730000,2B020000,00000000,F8FFFFFF,EEFFFFFF,239E64000000000035D2AA010781A033662D0000120000004C0000006D7300002B02000000000000F8FFFFFFEEFFFFFF
1784672294328,879E640000000000,70D2AA01,0781A033,662D0000,12000000,4C000000,6D730000,67020000,00000000,F7FFFFFF,EEFFFFFF,879E64000000000070D2AA010781A033662D0000120000004C0000006D7300006702000000000000F7FFFFFFEEFFFFFF
1784672294328,EB9E640000000000,ACD2AA01,0781A033,662D0000,12000000,4C000000,6D730000,A2020000,00000000,F6FFFFFF,EEFFFFFF,EB9E640000000000ACD2AA010781A033662D0000120000004C0000006D730000A202000000000000F6FFFFFFEEFFFFFF
1784672294328,509F640000000000,E7D2AA01,0781A033,662D0000,12000000,4C000000,6D730000,DD020000,00000000,F5FFFFFF,EEFFFFFF,509F640000000000E7D2AA010781A033662D0000120000004C0000006D730000DD02000000000000F5FFFFFFEEFFFFFF
1784672295328,B39F640000000000,B2D2AA01,2181A033,662D0000,12000000,4C000000,6D730000,19030000,00000000,F4FFFFFF,EEFFFFFF,B39F640000000000B2D2AA012181A033662D0000120000004C0000006D7300001903000000000000F4FFFFFFEEFFFFFF
1784672295328,17A0640000000000,7BD2AA01,3B81A033,662D0000,12000000,4C000000,6D730000,55030000,00000000,F3FFFFFF,EEFFFFFF,17A06400000000007BD2AA013B81A033662D0000120000004C0000006D7300005503000000000000F3FFFFFFEEFFFFFF
1784672295328,7DA0640000000000,44D2AA01,5581A033,662D0000,12000000,4C000000,6D730000,92030000,00000000,F2FFFFFF,EEFFFFFF,7DA064000000000044D2AA015581A033662D0000120000004C0000006D7300009203000000000000F2FFFFFFEEFFFFFF
1784672295328,E0A0640000000000,0DD2AA01,6F81A033,662D0000,12000000,4C000000,6D730000,CF030000,00000000,F1FFFFFF,EEFFFFFF,E0A06400000000000DD2AA016F81A033662D0000120000004C0000006D730000CF03000000000000F1FFFFFFEEFFFFFF
1784672295328,44A1640000000000,D6D1AA01,8981A033,662D0000,12000000,4C000000,6D730000,0C040000,00000000,F0FFFFFF,EEFFFFFF,44A1640000000000D6D1AA018981A033662D0000120000004C0000006D7300000C04000000000000F0FFFFFFEEFFFFFF
1784672295328,A8A1640000000000,9FD1AA01,A481A033,662D0000,12000000,4C000000,6D730000,49040000,00000000,F0FFFFFF,EEFFFFFF,A8A16400000000009FD1AA01A481A033662D0000120000004C0000006D7300004904000000000000F0FFFFFFEEFFFFFF
1784672295328,0CA2640000000000,68D1AA01,BE81A033,662D0000,12000000,4C000000,6D730000,86040000,00000000,EEFFFFFF,EEFFFFFF,0CA264000000000068D1AA01BE81A033662D0000120000004C0000006D7300008604000000000000EEFFFFFFEEFFFFFF
1784672295328,70A2640000000000,34D1AA01,D681A033,662D0000,12000000,4C000000,6D730000,BF040000,00000000,EEFFFFFF,EEFFFFFF,70A264000000000034D1AA01D681A033662D0000120000004C0000006D730000BF04000000000000EEFFFFFFEEFFFFFF
1784672295328,D4A2640000000000,01D1AA01,EF81A033,662D0000,12000000,4C000000,6C730000,F8040000,00000000,EDFFFFFF,EDFFFFFF,D4A264000000000001D1AA01EF81A033662D0000120000004C0000006C730000F804000000000000EDFFFFFFEDFFFFFF
1784672295328,38A3640000000000,CDD0AA01,0882A033,662D0000,12000000,4C000000,6C730000,32050000,00000000,ECFFFFFF,EDFFFFFF,38A3640000000000CDD0AA010882A033662D0000120000004C0000006C7300003205000000000000ECFFFFFFEDFFFFFF
1784672296328,9CA3640000000000,99D0AA01,2082A033,662D0000,12000000,4C000000,6C730000,6B050000,00000000,EBFFFFFF,EDFFFFFF,9CA364000000000099D0AA012082A033662D0000120000004C0000006C7300006B05000000000000EBFFFFFFEDFFFFFF
1784672296328,01A4640000000000,65D0AA01,3982A033,662D0000,12000000,4C000000,6C730000,A5050000,00000000,EAFFFFFF,EDFFFFFF,01A464000000000065D0AA013982A033662D0000120000004C0000006C730000A505000000000000EAFFFFFFEDFFFFFF
1784672296328,65A4640000000000,31D0AA01,5282A033,662D0000,12000000,4C000000,6C730000,DE050000,00000000,E9FFFFFF,EDFFFFFF,65A464000000000031D0AA015282A033662D0000120000004C0000006C730000DE05000000000000E9FFFFFFEDFFFFFF
1784672296328,C9A4640000000000,FECFAA01,6A82A033,662D0000,12000000,4C000000,6C730000,17060000,00000000,E8FFFFFF,EDFFFFFF,C9A4640000000000FECFAA016A82A033662D0000120000004C0000006C7300001706000000000000E8FFFFFFEDFFFFFF
1784672296328,2DA5640000000000,CBCFAA01,8382A033,662D0000,12000000,4C000000,6C730000,50060000,00000000,E7FFFFFF,EDFFFFFF,2DA5640000000000CBCFAA018382A033662D0000120000004C0000006C7300005006000000000000E7FFFFFFEDFFFFFF
1784672296328,91A5640000000000,97CFAA01,9B82A033,662D0000,12000000,4C000000,6C730000,88060000,00000000,E6FFFFFF,EDFFFFFF,91A564000000000097CFAA019B82A033662D0000120000004C0000006C7300008806000000000000E6FFFFFFEDFFFFFF
1784672296328,F5A5640000000000,64CFAA01,B482A033,662D0000,12000000,4C000000,6C730000,C2060000,00000000,E5FFFFFF,EDFFFFFF,F5A564000000000064CFAA01B482A033662D0000120000004C0000006C730000C206000000000000E5FFFFFFEDFFFFFF
1784672296328,59A6640000000000,31CFAA01,CC82A033,662D0000,12000000,4C000000,6B730000,FA060000,00000000,E5FFFFFF,ECFFFFFF,59A664000000000031CFAA01CC82A033662D0000120000004C0000006B730000FA06000000000000E5FFFFFFECFFFFFF
1784672296328,BDA6640000000000,FFCEAA01,E482A033,662D0000,12000000,4C000000,6B730000,31070000,00000000,E4FFFFFF,ECFFFFFF,BDA6640000000000FFCEAA01E482A033662D0000120000004C0000006B7300003107000000000000E4FFFFFFECFFFFFF
1784672296328,22A7640000000000,CECEAA01,FB82A033,662D0000,12000000,4C000000,6B730000,67070000,00000000,E3FFFFFF,ECFFFFFF,22A7640000000000CECEAA01FB82A033662D0000120000004C0000006B7300006707000000000000E3FFFFFFECFFFFFF
1784672297328,86A7640000000000,9DCEAA01,1283A033,662D0000,12000000,4C000000,6B730000,9E070000,00000000,E2FFFFFF,ECFFFFFF,86A76400000000009DCEAA011283A033662D0000120000004C0000006B7300009E07000000000000E2FFFFFFECFFFFFF
1784672297328,EAA7640000000000,6CCEAA01,2A83A033,662D0000,12000000,4C000000,6B730000,D4070000,00000000,E1FFFFFF,ECFFFFFF,EAA76400000000006CCEAA012A83A033662D0000120000004C0000006B730000D407000000000000E1FFFFFFECFFFFFF
1784672297328,4EA8640000000000,3BCEAA01,4183A033,662D0000,12000000,4C000000,6B730000,0B080000,00000000,E0FFFFFF,ECFFFFFF,4EA86400000000003BCEAA014183A033662D0000120000004C0000006B7300000B08000000000000E0FFFFFFECFFFFFF
1784672297328,B2A8640000000000,09CEAA01,5983A033,662D0000,12000000,4C000000,6B730000,41080000,00000000,DFFFFFFF,ECFFFFFF,B2A864000000000009CEAA015983A033662D0000120000004C0000006B7300004108000000000000DFFFFFFFECFFFFFF
1784672297328,16A9640000000000,D8CDAA01,7183A033,662D0000,12000000,4C000000,6B730000,79080000,00000000,DEFFFFFF,ECFFFFFF,16A9640000000000D8CDAA017183A033662D0000120000004C0000006B7300007908000000000000DEFFFFFFECFFFFFF
1784672297328,7BA9640000000000,A6CDAA01,8883A033,662D0000,12000000,4C000000,6B730000,B0080000,00000000,DEFFFFFF,ECFFFFFF,7BA9640000000000A6CDAA018883A033662D0000120000004C0000006B730000B008000000000000DEFFFFFFECFFFFFF
1784672297328,DEA9640000000000,74CDAA01,A083A033,662D0000,12000000,4C000000,6B730000,E7080000,00000000,DDFFFFFF,ECFFFFFF,DEA964000000000074CDAA01A083A033662D0000120000004C0000006B730000E708000000000000DDFFFFFFECFFFFFF
1784672297328,44AA640000000000,42CDAA01,B883A033,662D0000,12000000,4C000000,6B730000,1E090000,00000000,DCFFFFFF,ECFFFFFF,44AA64000000000042CDAA01B883A033662D0000120000004C0000006B7300001E09000000000000DCFFFFFFECFFFFFF
