time,ts,utm_x,utm_y,z,utm_zone_n,utm_zone_l,heading,inx_x,inx_y,inx_z,inx_yaw,raw
1784665080807,CEED2F0000000000,A2D0AA01,0781A033,662D0000,12000000,4C000000,6D730000,58000000,00000000,00000000,F3FFFFFF,CEED2F0000000000A2D0AA010781A033662D0000120000004C0000006D730000580000000000000000000000F3FFFFFF
1784665080807,32EE2F0000000000,BCD0AA01,0781A033,662D0000,12000000,4C000000,6D730000,71000000,00000000,FFFFFFFF,F3FFFFFF,32EE2F0000000000BCD0AA010781A033662D0000120000004C0000006D7300007100000000000000FFFFFFFFF3FFFFFF
1784665080807,96EE2F0000000000,D6D0AA01,0781A033,662D0000,12000000,4C000000,6D730000,8B000000,00000000,FFFFFFFF,F3FFFFFF,96EE2F0000000000D6D0AA010781A033662D0000120000004C0000006D7300008B00000000000000FFFFFFFFF3FFFFFF
1784665080807,FAEE2F0000000000,F0D0AA01,0781A033,662D0000,12000000,4C000000,6D730000,A5000000,00000000,FEFFFFFF,F3FFFFFF,FAEE2F0000000000F0D0AA010781A033662D0000120000004C0000006D730000A500000000000000FEFFFFFFF3FFFFFF
1784665080807,5EEF2F0000000000,0AD1AA01,0781A033,662D0000,12000000,4C000000,6D730000,BF000000,00000000,FEFFFFFF,F3FFFFFF,5EEF2F00000000000AD1AA010781A033662D0000120000004C0000006D730000BF00000000000000FEFFFFFFF3FFFFFF
1784665080807,C2EF2F0000000000,2AD1AA01,0781A033,662D0000,12000000,4C000000,6D730000,E0000000,00000000,FDFFFFFF,F3FFFFFF,C2EF2F00000000002AD1AA010781A033662D0000120000004C0000006D730000E000000000000000FDFFFFFFF3FFFFFF
1784665080807,26F02F0000000000,4BD1AA01,0781A033,662D0000,12000000,4C000000,6D730000,01010000,00000000,FDFFFFFF,F3FFFFFF,26F02F00000000004BD1AA010781A033662D0000120000004C0000006D7300000101000000000000FDFFFFFFF3FFFFFF
1784665080807,8AF02F0000000000,6CD1AA01,0781A033,662D0000,12000000,4C000000,6D730000,22010000,00000000,FCFFFFFF,F3FFFFFF,8AF02F00000000006CD1AA010781A033662D0000120000004C0000006D7300002201000000000000FCFFFFFFF3FFFFFF
1784665080807,EFF02F0000000000,8DD1AA01,0781A033,662D0000,12000000,4C000000,6D730000,43010000,00000000,FCFFFFFF,F3FFFFFF,EFF02F00000000008DD1AA010781A033662D0000120000004C0000006D7300004301000000000000FCFFFFFFF3FFFFFF
1784665080807,53F12F0000000000,AED1AA01,0781A033,662D0000,12000000,4C000000,6D730000,64010000,00000000,FBFFFFFF,F3FFFFFF,53F12F0000000000AED1AA010781A033662D0000120000004C0000006D7300006401000000000000FBFFFFFFF3FFFFFF
